year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus,"Gender,Male","Gender,Female","Age,18-29","Age,30-39","Age,40-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Black","Race,Latino","Race,Asian","Race,Other","Education,HS or less","Education,College Graduate","Education,Postgraduate"
2016,AK,1,111019,155088,308198,1,r,531845,280943,250902,741894,477895,37479,61637,51304,478951,90861,50716,741894,56890,121629,92373,93124,54081,41912,554598,526655,75832,248468,9066,7301,16156,17073,26049,46366,35805,50030,22973,17649,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AL,1,0,208083,215893,1,r,536469,253666,282803,704457,474871,198362,12529,21318,483628,73720,42534,704457,42524,90338,84166,92209,48797,47119,543418,516551,120999,264399,26503,17281,30504,28714,36190,45142,29591,30714,10793,8967,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AL,2,112089,134886,276584,1,r,517398,247338,270060,681621,429562,226633,11198,23757,464210,64329,36840,681621,45361,93644,81824,91114,48075,39596,527544,499596,109957,259766,26155,18436,35241,30771,34594,44501,28416,27209,8240,6203,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AL,3,94549,192164,287104,1,r,539625,256140,283485,709482,492798,189825,15071,21499,472077,64031,43454,709482,57540,89632,86387,94189,47693,44444,551491,517275,109732,270850,25574,15917,34026,28856,38880,53310,30181,28409,9241,6456,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AL,4,0,235925,239444,1,r,513264,247056,266208,683273,603756,50962,6822,45555,472340,51327,29094,683273,38598,81750,82566,94337,49034,42699,528503,502065,121954,256036,24410,18513,34405,30945,40686,44337,27635,22869,6380,5856,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AL,5,102234,205647,308326,1,r,538564,259555,279009,712529,541334,133971,14840,36075,490229,90532,57866,712529,45689,90941,90774,100717,52732,42646,555343,524444,112419,278329,22977,15974,31136,27723,35950,45842,34144,35010,16403,13170,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AL,6,83709,245313,329306,0,r,520618,247193,273425,706308,554343,112612,17279,34100,483675,109930,67759,706308,39020,93505,94747,94293,48043,44016,539706,515497,109071,267123,13846,13376,22425,26207,33629,48340,36018,40956,15761,16565,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AL,7,229330,0,233028,1,d,504291,231719,272572,665630,219720,426489,7965,17382,434554,52811,31295,665630,56990,89755,77805,78764,46519,41891,517778,478056,99820,256015,37176,21093,38507,32230,32942,40219,24515,18573,6341,4419,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AR,1,0,183866,241047,1,r,549962,271774,278188,725733,564015,137495,5425,23240,494346,53291,28078,725733,42159,88901,87474,93555,50171,45229,557612,528873,129016,273559,25477,21632,39879,32125,41433,51581,28637,21641,6160,4994,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AR,2,111347,176472,302464,0,r,561808,265903,295905,758929,538884,181120,15014,39283,504429,92424,58772,758929,52970,105146,93393,97367,47640,47070,580373,545037,113813,293331,25100,16084,31127,32330,43209,53120,33979,35197,11121,12064,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AR,3,0,217192,280907,1,r,549047,268802,280245,794237,659604,30571,28145,112548,510509,86672,50533,794237,58182,110405,102779,95500,46742,42622,595694,555112,112461,303127,24397,14522,35159,36635,47255,54431,31393,35446,11185,12704,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AR,4,0,182885,244159,1,r,532400,255135,277265,709349,527563,146912,5115,39473,481164,50221,25842,709349,42098,78126,81320,92613,50560,48205,547209,513632,130340,272701,26111,23341,38492,35014,41596,50094,24365,22804,7108,3776,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AZ,1,142219,121745,280710,0,d,557842,280243,277599,766924,501533,25862,17865,167329,498856,71911,50436,766924,53154,92339,90333,82392,48337,49353,579599,539280,136102,249358,24410,14067,25292,26519,33030,47903,31448,29917,9980,6792,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AZ,2,135873,179806,315679,1,r,536883,260766,276117,722770,589720,42687,31755,203864,507105,97801,74393,722770,52130,95560,78519,84666,45813,51228,575712,550167,151319,301297,24126,18011,35100,30981,44378,55022,37378,31777,13261,11263,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AZ,3,148973,332,151035,1,d,469111,235595,233516,752284,483361,40676,17248,470070,449804,50853,23201,752284,74160,97683,97076,89804,36599,39797,553150,505114,88845,242621,20367,15645,29142,30860,39506,47402,28445,21017,5694,4543,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AZ,4,81296,203487,284783,1,r,583918,294068,289850,753807,661739,18955,15846,145119,555153,66553,39873,753807,38570,76237,77851,84731,51237,57507,611456,585309,207590,296652,22669,16340,34870,30854,45052,59402,37722,31860,9824,8059,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AZ,5,114940,205184,320124,0,r,542947,261132,281815,785110,664846,36373,43773,142569,523219,117145,71314,785110,38921,102752,105174,105763,43592,39743,578992,554073,126195,274044,11949,7727,19795,21792,32001,48496,40341,47182,23709,21052,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AZ,6,122866,201578,324444,1,r,552829,268236,284593,764776,647628,22063,47895,128302,552249,158682,92022,764776,41358,99322,94910,111711,56165,51006,607829,586686,139135,313796,16529,9807,25216,24387,41223,53943,38552,45591,23175,35373,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AZ,7,119465,39286,158811,1,d,426164,209740,216424,818387,469488,94876,27245,524111,475050,43889,22732,818387,65453,133814,108695,98198,38277,34236,567263,525756,61830,245571,26972,18382,28894,29665,41549,46776,22672,22071,5153,3437,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,AZ,8,0,205017,298971,1,r,578017,274146,303871,782511,659281,41220,39320,149949,546461,107049,53361,782511,39673,86319,92045,97620,51392,49238,606586,579143,169847,286511,13597,8275,19918,28958,38686,57890,39939,47910,18367,12971,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
