year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_nonwhite,ed_pop,ed_4y,ed_no4y,age_pop,age_18_34,age_35_49,age_50_64,age_65_plus,inc_pop,inc_lt_50,inc_50_100,inc_100_plus,"Gender,Male","Gender,Female","Age,18-34","Age,35-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Non-White","Education,HS or less","Education,4yrDegree"
2012,AK,1,82927,185296,289804,1,r,260120,135526,124594,731449,486551,244898,464594,130124,334470,731449,148244,147769,145374,62119,251651,91790,83080,76781,-8,11,18,0,-4,-11,20,-6,-14,-20,53,3,1
2012,AL,1,0,196374,200676,1,r,362092,175695,186397,693136,470105,223031,464553,102793,361760,693136,112140,135318,138492,105175,268109,153452,76894,37763,-8,11,18,0,-4,-11,20,-6,-14,-20,76,3,0
2012,AL,2,103092,180591,283953,1,r,357776,173303,184473,683565,451176,232389,457256,98982,358274,683565,119711,132677,130170,101580,262364,153519,72418,36427,-8,11,18,0,-4,-11,20,-6,-14,-20,77,3,0
2012,AL,3,98141,175306,273930,1,r,342806,167660,175146,696249,489433,206816,454783,91989,362794,696249,122953,136201,134675,97461,269516,158290,76330,34896,-8,11,18,0,-4,-11,20,-6,-14,-20,77,3,1
2012,AL,4,69706,199071,269118,1,r,370119,180295,189824,680966,598955,82011,460982,70187,390795,680966,99916,134584,137509,112010,258068,160685,69544,27839,-8,11,18,0,-4,-11,20,-6,-14,-20,64,3,1
2012,AL,5,101772,189185,291293,1,r,293980,144181,149799,696690,536553,160137,470908,141852,329056,696690,118376,143167,140862,98944,269229,133861,80871,54497,-8,11,18,0,-4,-11,20,-6,-14,-20,71,3,0
2012,AL,6,88267,219262,308102,1,r,361138,175617,185521,688675,553061,135614,469710,159612,310098,688675,115768,145675,136201,95172,261687,117621,83652,60414,-8,11,18,0,-4,-11,20,-6,-14,-20,68,3,1
2012,AL,7,232520,73835,306558,1,d,356749,167224,189525,682742,234088,448654,431454,81744,349710,682742,120014,123905,131004,90017,256196,176454,55866,23876,-8,11,18,0,-4,-11,20,-6,-14,-20,80,3,0
2012,AR,1,96601,138800,246843,0,r,347408,172673,174735,729169,573558,155611,492227,74265,417962,729169,117900,139392,141855,121147,281235,179843,73926,27466,-8,11,18,0,-4,-11,20,-6,-14,-20,76,3,0
2012,AR,2,113156,158175,286598,1,r,351696,170936,180760,747332,552404,194928,491727,139259,352468,747332,141541,146505,140451,100597,290724,155842,86705,48177,-8,11,18,0,-4,-11,20,-6,-14,-20,73,3,0
2012,AR,3,0,186467,245660,1,r,399685,196896,202789,754704,646773,107931,483354,115697,367657,754704,137276,147597,132097,97561,287546,165534,80198,41814,-8,11,18,0,-4,-11,20,-6,-14,-20,47,3,0
2012,AR,4,95013,154149,258953,0,d,389593,190924,198669,717926,535216,182710,482074,79888,402186,717926,104050,133358,147605,121802,284354,180096,75581,28677,-8,11,18,0,-4,-11,20,-6,-14,-20,72,3,0
2012,AZ,1,122774,113594,251595,0,r,305992,155250,150742,722706,466617,256089,460279,106634,353645,722706,120962,130704,136938,103571,239811,128487,74268,37056,-8,11,18,0,-4,-11,20,-6,-14,-20,44,3,1
