year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus,"Gender,Male","Gender,Female","Age,18-34","Age,35-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Non-White","Education,HS or less","Education,College Graduate"
2020,AK,1,159856,192126,351982,1,r,533151,278479,254672,731545,469771,34639,61551,52548,484058,89583,56574,731545,47636,117978,93035,87687,48858,45912,551796,523018,90588,252199,10352,8180,16595,17523,27082,45717,33863,45904,23597,23386,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,AL,1,116949,211825,328774,0,r,546223,256090,290133,717438,479955,203394,14036,23629,498018,80114,44217,717438,40348,92674,88657,87619,48179,49738,556011,530563,131151,268033,22455,13869,27743,28329,39729,48806,30221,34011,12111,10759,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,AL,2,105286,197996,303282,0,r,513747,242695,271052,674920,424115,224717,11864,26112,462069,68419,40177,674920,43193,91857,82199,81556,42805,43319,523012,497561,120333,262180,20257,12834,31060,27505,37759,50298,29752,33277,10838,8600,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,AL,3,104595,217384,321979,1,r,550776,262424,288352,717896,494456,196443,16850,21161,485973,65939,50452,717896,52903,91099,89263,89321,48226,48172,562241,525282,119892,279236,23873,16708,32034,27489,34130,51875,31899,37612,13268,10348,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,AL,4,56237,261553,317790,1,r,516456,251669,264787,687453,596835,55315,4871,47731,478734,54939,29016,687453,39875,85102,82874,88787,45880,47494,533068,510974,128597,262865,19688,15963,35083,27692,38776,49191,29993,31156,8384,6939,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,AL,5,0,0,0,1,r,563216,270465,292751,735858,552016,142404,15968,40201,508746,106173,64018,735858,48457,93525,90804,97411,49302,51926,576830,546605,125778,293146,17500,15195,28401,28662,36600,47115,36012,46753,20648,16260,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,AL,6,0,0,0,1,r,527401,250944,276457,699605,549842,117783,14427,35562,485802,115867,70983,699605,38361,92285,95465,89548,47726,45008,540854,515718,115770,272470,14372,9519,20670,22803,30996,47610,34548,46674,21359,23919,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,AL,7,0,0,0,1,d,513517,234099,279418,670015,229156,424418,9418,24900,440716,56524,38519,670015,54602,90861,76477,75149,39178,46260,525572,481764,112791,259646,36413,19565,32215,33582,36465,42241,20207,25253,8635,5070,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,AR,1,0,0,0,1,r,548521,268993,279528,719048,556680,134716,4715,24421,495994,53976,26324,719048,42287,89980,90309,87424,47701,48238,555824,530238,132342,283256,22554,18221,40154,36756,40642,49240,32144,26816,8729,8000,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,AR,2,148410,184093,332503,1,r,576874,271823,305051,767662,543432,191834,16052,41445,516846,96010,56565,767662,54236,103052,98092,91455,48365,47630,592142,560643,128252,298841,19980,16833,31031,30709,41501,57224,33389,41646,14450,12078,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
