year,state,district,age_pop,allage_m,allage_f,age_18_plus,allage_citzenpct,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus
2012,AK,1,731449,381094,350355,544184,47.8,731449,486551,37564,55476,43686,464594,79559,50565,59762,109331,95782,103975,52436,40951,512911,62119,251651,9859,9950,21001,20745,30235,47529,35551,43832,18160,14789
2012,AL,1,693136,336325,356811,528601,68.5,693136,470105,197479,11369,20334,464553,67218,35575,45558,85567,86224,98189,47098,42300,500123,105175,268109,29759,20018,34363,31726,37586,48185,28709,24470,8035,5258
2012,AL,2,683565,331111,352454,521540,68.6,683565,451176,209613,11095,23450,457256,64206,34776,45892,92828,86735,91885,46343,37885,493027,101580,262364,27248,22666,33395,30523,39687,46280,26138,25113,6980,4334
2012,AL,3,696249,340523,355726,537313,63.8,696249,489433,184228,10748,18461,454783,55839,36150,59952,86446,89881,92640,46774,41581,502145,97461,269516,31047,20721,37924,31504,37094,46678,29652,23281,6170,5445
2012,AL,4,680966,331717,349249,522030,70.9,680966,598955,54475,5928,33713,460982,44156,26031,41711,76879,87276,94616,44722,45479,494019,112010,258068,25262,22157,39745,34842,38679,42784,26760,19023,4630,4186
2012,AL,5,696690,341689,355001,536460,54.8,696690,536553,128526,13691,34179,470908,90959,50893,48750,87935,90263,105808,46568,41390,508997,98944,269229,22329,17316,30546,26122,37548,48145,32726,33771,12029,8697
2012,AL,6,688675,334894,353781,524148,68.9,688675,553061,101042,13952,34401,469710,97049,62563,38649,92661,96911,97529,46470,40967,500835,95172,261687,13863,13320,25973,26455,38010,48826,34826,36032,13079,11303
2012,AL,7,682742,320032,362710,526956,67.7,682742,234088,435613,4931,20903,431454,52610,29134,64122,86527,79130,89551,46671,39558,481003,90017,256196,44105,26342,38841,31195,35971,36485,19381,16725,4097,3054
2012,AR,1,729169,362420,366749,555852,62.5,729169,573558,136152,4096,21347,492227,49657,24608,46373,89833,90312,98160,48945,43830,528393,121147,281235,32354,24204,43841,36401,43043,50369,23557,19210,4323,3933
2012,AR,2,747332,363229,384103,570009,61.7,747332,552404,171280,13569,37603,491727,91033,48226,58692,104174,96488,100034,47202,43232,538021,100597,290724,24109,20197,37393,33614,40529,51720,34985,31645,9174,7358
2012,AR,3,754704,371789,382915,562145,71.1,754704,646773,27373,23626,99692,483354,74941,40756,55287,106098,98758,97679,44082,39176,525982,97561,287546,25022,19756,39378,35515,45863,52880,27318,25693,8182,7939
2012,AR,4,717926,351827,366099,549496,70.9,717926,535216,145555,6214,39223,482074,53510,26378,46107,79308,83367,99983,53462,44152,517449,121802,284354,29732,27638,46014,36198,40514,50001,25580,20726,3875,4076
