year,state,district,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus
2018,AK,1,532244,279792,252452,737438,474555,36659,63855,53069,485353,89635,56793,737438,49107,117688,97020,89333,47300,46012,553978,524838,88000,254551,11444,8384,16322,16783,26253,49251,34149,48405,21159,22401
2018,AL,1,544464,256603,287861,715346,479949,200093,14250,24141,491625,79243,40961,715346,42514,89384,85553,91122,51510,46973,552917,525972,127083,272626,23918,16420,33427,31146,38292,47874,32354,28383,10952,9860
2018,AL,2,516295,243971,272324,678122,426674,226877,10611,24953,461832,65914,38477,678122,46469,89934,81055,86722,45788,42971,524810,500361,115362,254315,25282,15983,30536,24481,34171,45426,31675,29838,9333,7590
2018,AL,3,543854,261066,282788,708409,490987,191310,15705,22102,476946,61435,42255,708409,53788,89779,83351,91677,46240,46380,554393,517380,119519,264595,29780,17232,32337,27053,32313,45713,31069,29108,11427,8563
2018,AL,4,515701,248166,267535,686297,591084,56332,5447,44731,471464,51598,32086,686297,41383,80162,81963,87644,45752,47800,530790,503645,128143,256963,21203,17159,35337,31107,34057,43117,30039,28728,8626,7590
2018,AL,5,551968,267633,284335,725634,539903,138967,17369,38726,502702,108527,62328,725634,44893,97027,89853,96120,55636,44341,567616,537093,119725,290207,18096,14512,30460,27170,38341,51453,36207,41080,17934,14954
2018,AL,6,535753,255440,280313,713595,556700,115401,18307,33522,496342,113361,67024,713595,38157,94740,96229,94947,45068,46306,552559,527216,119052,266268,14258,9547,20688,20069,32242,46890,37439,45968,18016,21151
2018,AL,7,504177,230516,273661,660468,221541,420641,7541,23310,436553,56008,32820,660468,50606,94950,75476,77941,42706,44701,515681,473831,100779,250210,36621,19666,37108,27234,32135,41491,23689,21615,6087,4564
2018,AR,1,548710,270423,278287,724622,561702,129755,4682,24769,497168,55491,28617,724622,41098,92226,88669,88986,49191,46941,557175,531736,131155,282730,25779,20404,40229,35056,42820,51531,28259,25988,7197,5467
2018,AR,2,570220,271053,299167,765124,540548,185311,17280,40484,513347,92656,61400,765124,53731,104256,96178,95228,50591,45256,589069,553371,121838,294135,22950,15659,32115,29980,45504,48901,30323,40400,13186,15117
2018,AR,3,573113,277923,295190,819235,679803,32693,30499,120730,532481,93383,57603,819235,61115,117140,103568,100751,47973,45003,618462,578378,118046,309456,19144,15041,31694,32756,45803,58477,37084,38256,15297,15904
2018,AR,4,532069,255252,276817,704844,524043,140008,7764,44317,478943,54892,27233,704844,43804,79315,78638,85378,48279,50696,545159,511406,136637,270026,26698,19024,37758,32324,41356,47015,26496,26227,7921,5207
2018,AZ,1,568661,283123,285538,770392,504227,24839,20023,177124,509637,74290,54362,770392,54239,92362,90025,85856,46072,46493,592187,553196,148829,260716,22575,9455,26363,23580,35947,52772,32142,35627,12906,9349
2018,AZ,2,550044,267865,282179,724747,584070,40421,31655,211844,509692,99775,69966,724747,54871,94367,82827,80258,43752,51286,582856,552963,157202,299328,19133,14688,33582,27997,45062,56171,35369,37777,14853,14696
2018,AZ,3,500787,256566,244221,798359,564199,50426,21413,506933,486317,52489,26506,798359,72249,115429,97965,91693,40982,40829,586774,543882,99419,248402,20540,9307,29902,26619,36805,50127,32053,27960,9004,6085
